id,sol,earth_date,total_photos,cameras,first_photo_url,first_photo_alt
1,1,2004-01-26,95,"ENTRY, FHAZ, NAVCAM, PANCAM, RHAZ",http://mars.nasa.gov/mer/gallery/all/1/f/001/1F128285236EDN0000P1001L0M1-BR.JPG,Photo taken by the Opportunity Rover on 2004-01-26 using its Front Hazard Avoidance Camera.
4,2,2004-01-27,280,"MINITES, NAVCAM, PANCAM",http://mars.nasa.gov/mer/gallery/all/1/n/002/1N128367857EFF0200P1512L0M1-BR.JPG,Photo taken by the Opportunity Rover on 2004-01-27 using its Navigation Camera.
6,3,2004-01-28,321,"NAVCAM, PANCAM, RHAZ",http://mars.nasa.gov/mer/gallery/all/1/r/003/1R128453896EDN0200P1002L0M1-BR.JPG,Photo taken by the Opportunity Rover on 2004-01-28 using its Rear Hazard Avoidance Camera.
7,4,2004-01-29,274,"FHAZ, NAVCAM, PANCAM, RHAZ",http://mars.nasa.gov/mer/gallery/all/1/f/004/1F128533972EDN0200F0006L0M1-BR.JPG,Photo taken by the Opportunity Rover on 2004-01-29 using its Front Hazard Avoidance Camera.
8,5,2004-01-30,97,"FHAZ, NAVCAM, PANCAM, RHAZ",http://mars.nasa.gov/mer/gallery/all/1/f/005/1F128621823EDN0205P1001L0M1-BR.JPG,Photo taken by the Opportunity Rover on 2004-01-30 using its Front Hazard Avoidance Camera.
9,6,2004-01-31,34,"FHAZ, NAVCAM, PANCAM, RHAZ",http://mars.nasa.gov/mer/gallery/all/1/f/006/1F128724129EFF0211P1003L0M1-BR.JPG,Photo taken by the Opportunity Rover on 2004-01-31 using its Front Hazard Avoidance Camera.
11,7,2004-02-01,143,"FHAZ, NAVCAM, PANCAM, RHAZ",http://mars.nasa.gov/mer/gallery/all/1/f/007/1F128800775EFF0211P1003L0M1-BR.JPG,Photo taken by the Opportunity Rover on 2004-02-01 using its Front Hazard Avoidance Camera.
13,8,2004-02-02,95,"FHAZ, PANCAM, RHAZ",http://mars.nasa.gov/mer/gallery/all/1/f/008/1F128894921EFF0224P1003L0M1-BR.JPG,Photo taken by the Opportunity Rover on 2004-02-02 using its Front Hazard Avoidance Camera.
15,9,2004-02-03,43,"FHAZ, MINITES, PANCAM",http://mars.nasa.gov/mer/gallery/all/1/f/009/1F128991241EFF0224P1110L0M1-BR.JPG,Photo taken by the Opportunity Rover on 2004-02-03 using its Front Hazard Avoidance Camera.
17,10,2004-02-04,206,"FHAZ, MINITES, PANCAM",http://mars.nasa.gov/mer/gallery/all/1/f/010/1F129070908EDN0224P1101L0M1-BR.JPG,Photo taken by the Opportunity Rover on 2004-02-04 using its Front Hazard Avoidance Camera.
19,11,2004-02-05,223,"FHAZ, PANCAM",http://mars.nasa.gov/mer/gallery/all/1/f/011/1F129160003EDN0224P1101L0M1-BR.JPG,Photo taken by the Opportunity Rover on 2004-02-05 using its Front Hazard Avoidance Camera.
20,12,2004-02-06,172,"FHAZ, MINITES, NAVCAM, PANCAM, RHAZ",http://mars.nasa.gov/mer/gallery/all/1/f/012/1F129255647EFF0242P1140L0M1-BR.JPG,Photo taken by the Opportunity Rover on 2004-02-06 using its Front Hazard Avoidance Camera.
21,13,2004-02-07,184,"FHAZ, NAVCAM, PANCAM, RHAZ",http://mars.nasa.gov/mer/gallery/all/1/f/013/1F129336943EFF0246P1201L0M1-BR.JPG,Photo taken by the Opportunity Rover on 2004-02-07 using its Front Hazard Avoidance Camera.
22,14,2004-02-08,199,"FHAZ, MINITES, NAVCAM, PANCAM, RHAZ",http://mars.nasa.gov/mer/gallery/all/1/f/014/1F129431053EFF0312P1104L0M1-BR.JPG,Photo taken by the Opportunity Rover on 2004-02-08 using its Front Hazard Avoidance Camera.
24,15,2004-02-09,185,"FHAZ, MINITES, NAVCAM, PANCAM",http://mars.nasa.gov/mer/gallery/all/1/f/015/1F129515134EDN0312P1111L0M1-BR.JPG,Photo taken by the Opportunity Rover on 2004-02-09 using its Front Hazard Avoidance Camera.
27,16,2004-02-10,109,"FHAZ, NAVCAM, PANCAM, RHAZ",http://mars.nasa.gov/mer/gallery/all/1/f/016/1F129604312EFF0318P1204L0M1-BR.JPG,Photo taken by the Opportunity Rover on 2004-02-10 using its Front Hazard Avoidance Camera.
29,17,2004-02-11,261,"FHAZ, MINITES, NAVCAM, PANCAM, RHAZ",http://mars.nasa.gov/mer/gallery/all/1/f/017/1F129697411EFF0334P1202L0M1-BR.JPG,Photo taken by the Opportunity Rover on 2004-02-11 using its Front Hazard Avoidance Camera.
31,18,2004-02-12,154,"FHAZ, MINITES, NAVCAM, PANCAM, RHAZ",http://mars.nasa.gov/mer/gallery/all/1/f/018/1F129783269EFF0338P1222L0M1-BR.JPG,Photo taken by the Opportunity Rover on 2004-02-12 using its Front Hazard Avoidance Camera.
33,19,2004-02-13,175,"FHAZ, MINITES, NAVCAM, PANCAM, RHAZ",http://mars.nasa.gov/mer/gallery/all/1/f/019/1F129876194EFF0344P1222L0M1-BR.JPG,Photo taken by the Opportunity Rover on 2004-02-13 using its Front Hazard Avoidance Camera.
35,20,2004-02-14,246,"FHAZ, MINITES, NAVCAM, PANCAM, RHAZ",http://mars.nasa.gov/mer/gallery/all/1/f/020/1F129964824EFF0352P1202L0M1-BR.JPG,Photo taken by the Opportunity Rover on 2004-02-14 using its Front Hazard Avoidance Camera.
36,21,2004-02-15,134,"FHAZ, NAVCAM, PANCAM, RHAZ",http://mars.nasa.gov/mer/gallery/all/1/f/021/1F130049304EFF0354P1222L0M1-BR.JPG,Photo taken by the Opportunity Rover on 2004-02-15 using its Front Hazard Avoidance Camera.
37,22,2004-02-16,128,"FHAZ, MINITES, NAVCAM, PANCAM",http://mars.nasa.gov/mer/gallery/all/1/f/022/1F130137549EDN0382P1111L0M1-BR.JPG,Photo taken by the Opportunity Rover on 2004-02-16 using its Front Hazard Avoidance Camera.
39,23,2004-02-17,226,"FHAZ, MINITES, NAVCAM, PANCAM, RHAZ",http://mars.nasa.gov/mer/gallery/all/1/f/023/1F130227421EFF0400R0013L0M1-BR.JPG,Photo taken by the Opportunity Rover on 2004-02-17 using its Front Hazard Avoidance Camera.
41,24,2004-02-18,142,"FHAZ, MINITES, NAVCAM, PANCAM",http://mars.nasa.gov/mer/gallery/all/1/f/024/1F130314566EDN0400P1111L0M1-BR.JPG,Photo taken by the Opportunity Rover on 2004-02-18 using its Front Hazard Avoidance Camera.
43,25,2004-02-19,45,"FHAZ, MINITES, PANCAM",http://mars.nasa.gov/mer/gallery/all/1/f/025/1F130404013EDN0400P1121L0M1-BR.JPG,Photo taken by the Opportunity Rover on 2004-02-19 using its Front Hazard Avoidance Camera.
45,26,2004-02-20,202,"FHAZ, MINITES, NAVCAM, PANCAM, RHAZ",http://mars.nasa.gov/mer/gallery/all/1/f/026/1F130498155EFF0444P1210L0M1-BR.JPG,Photo taken by the Opportunity Rover on 2004-02-20 using its Front Hazard Avoidance Camera.
47,27,2004-02-21,203,"FHAZ, MINITES, PANCAM, RHAZ",http://mars.nasa.gov/mer/gallery/all/1/f/027/1F130586968EFF0454P1214L0M1-BR.JPG,Photo taken by the Opportunity Rover on 2004-02-21 using its Front Hazard Avoidance Camera.
49,28,2004-02-22,70,"FHAZ, MINITES, PANCAM",http://mars.nasa.gov/mer/gallery/all/1/f/028/1F130669999EDN0454P1111L0M1-BR.JPG,Photo taken by the Opportunity Rover on 2004-02-22 using its Front Hazard Avoidance Camera.
51,29,2004-02-23,123,"FHAZ, MINITES, NAVCAM, PANCAM",http://mars.nasa.gov/mer/gallery/all/1/f/029/1F130752407EDN0454P1121L0M1-BR.JPG,Photo taken by the Opportunity Rover on 2004-02-23 using its Front Hazard Avoidance Camera.
52,30,2004-02-24,61,"FHAZ, MINITES, PANCAM",http://mars.nasa.gov/mer/gallery/all/1/f/030/1F130838064EDN0454P1121L0M1-BR.JPG,Photo taken by the Opportunity Rover on 2004-02-24 using its Front Hazard Avoidance Camera.
53,31,2004-02-25,51,"FHAZ, PANCAM",http://mars.nasa.gov/mer/gallery/all/1/f/031/1F130936200EDN0454P1131L0M1-BR.JPG,Photo taken by the Opportunity Rover on 2004-02-25 using its Front Hazard Avoidance Camera.
55,32,2004-02-26,109,PANCAM,http://mars.nasa.gov/mer/gallery/all/1/p/032/1P131033159EFF0454P2585L7M1-BR.JPG,Photo taken by the Opportunity Rover on 2004-02-26 using its Panoramic Camera.
57,33,2004-02-27,166,"FHAZ, MINITES, NAVCAM, PANCAM, RHAZ",http://mars.nasa.gov/mer/gallery/all/1/f/033/1F131117877EFF0500P1214L0M1-BR.JPG,Photo taken by the Opportunity Rover on 2004-02-27 using its Front Hazard Avoidance Camera.
59,34,2004-02-28,44,"FHAZ, MINITES, PANCAM",http://mars.nasa.gov/mer/gallery/all/1/f/034/1F131201440EDN0500P1111L0M1-BR.JPG,Photo taken by the Opportunity Rover on 2004-02-28 using its Front Hazard Avoidance Camera.
61,35,2004-02-29,89,"FHAZ, MINITES, PANCAM",http://mars.nasa.gov/mer/gallery/all/1/f/035/1F131296571EDN0500P1111L0M1-BR.JPG,Photo taken by the Opportunity Rover on 2004-02-29 using its Front Hazard Avoidance Camera.
63,36,2004-03-01,149,"FHAZ, NAVCAM, PANCAM, RHAZ",http://mars.nasa.gov/mer/gallery/all/1/f/036/1F131386473EFF0510P1222L0M1-BR.JPG,Photo taken by the Opportunity Rover on 2004-03-01 using its Front Hazard Avoidance Camera.
65,37,2004-03-03,182,"FHAZ, PANCAM, RHAZ",http://mars.nasa.gov/mer/gallery/all/1/f/037/1F131479082EFF0534P1201L0M1-BR.JPG,Photo taken by the Opportunity Rover on 2004-03-03 using its Front Hazard Avoidance Camera.
67,38,2004-03-04,163,"FHAZ, MINITES, NAVCAM, PANCAM, RHAZ",http://mars.nasa.gov/mer/gallery/all/1/f/038/1F131566087EFF0544P1214L0M1-BR.JPG,Photo taken by the Opportunity Rover on 2004-03-04 using its Front Hazard Avoidance Camera.
68,39,2004-03-05,265,"FHAZ, MINITES, PANCAM",http://mars.nasa.gov/mer/gallery/all/1/f/039/1F131647531EDN0544P1111L0M1-BR.JPG,Photo taken by the Opportunity Rover on 2004-03-05 using its Front Hazard Avoidance Camera.
